fold	AUROC	AUPR	AP	Recall@100	Precision@100	Accuracy	F1
1	0.8052321362219335	0.007545088989840487	0.007615131563629689	0.001661129528656602	0.009999999776482582	0.9983930640158452	0.0
2	0.8384916107421867	0.01475580403274001	0.015297869757334829	0.02003338932991028	0.11999999731779099	0.9983797087212779	0.006546644844517185
3	0.8120291397242456	0.006964039291628013	0.007093553685306591	0.007920792326331139	0.03999999910593033	0.9986527513219043	0.0
4	0.8261588926377503	0.004591722572127281	0.004715107003597439	0.003267973894253373	0.009999999776482582	0.9991831439348438	0.0
5	0.7825292747230828	0.005339816753941237	0.00550364121537418	0.007575757801532745	0.03999999910593033	0.9985903234246597	0.0
6	0.7904362983464516	0.03370689859609581	0.03402622868004666	0.01819685660302639	0.2199999988079071	0.9967725229313714	0.0
7	0.834108178006879	0.020340781253288132	0.020813151016739497	0.020053476095199585	0.15000000596046448	0.9980036564047133	0.0
8	0.7923098882558142	0.00748331342297121	0.007604812624754246	0.007352941203862429	0.05000000074505806	0.9981855780134747	0.0
9	0.7370176518028135	0.008213985423526518	0.00843551172178215	0.008097166195511818	0.05999999865889549	0.9980229824949908	0.0
10	0.8374763736931486	0.008134461805091987	0.008230163398610274	0.0015128592494875193	0.009999999776482582	0.998236148024806	0.0
