fold	AUROC	AUPR	AP	Recall@100	Precision@100	Accuracy	F1
1	0.7925495595961899	0.0073610236235477945	0.0075278810452180205	0.003322259057313204	0.019999999552965164	0.9983903946869678	0.0
2	0.824382057790991	0.017774305806392988	0.018240074858265846	0.02003338932991028	0.11999999731779099	0.9984010634663022	0.0
3	0.8261679539684486	0.008991787852864017	0.009768679237774735	0.007920792326331139	0.03999999910593033	0.9986527513219043	0.0
4	0.797481420400306	0.0034130853620274815	0.003574699214770254	0.003267973894253373	0.009999999776482582	0.9991831439348438	0.0
5	0.7973470239834243	0.007890335499492565	0.008140819228131807	0.011363636702299118	0.05999999865889549	0.9985903234246597	0.0
6	0.7486332537854365	0.014844685010369422	0.015113212716996354	0.009098428301513195	0.10999999940395355	0.9967725229313714	0.0
7	0.8108799451175818	0.027216245885089866	0.02810711271258233	0.025401068851351738	0.1899999976158142	0.9980036564047133	0.0
8	0.767688195354593	0.017499708760057454	0.017948683151732498	0.020588235929608345	0.14000000059604645	0.9981802414782203	0.0
9	0.6824177101310858	0.007448247366164145	0.007544901952430834	0.00269905524328351	0.019999999552965164	0.9980229824949908	0.0
10	0.8154291084576921	0.011780021420111138	0.011953527135155895	0.006051436997950077	0.03999999910593033	0.9982388164846777	0.0030211480362537764
